好评分词,好评词频,中评分词,中评词频,差评分词,差评词频
这件,1.0,保护,1,调度,1.0
棒,1.0,西方,1,责任感,1.0
竖起,1.0,谷腾堡,1,设问,1.0
行业,1.0,圣经,1,终极,1.0
标杆,1.0,肃然起敬,1,体验,1.0
细腻,1.0,高度文明,1,契合,1.0
一份,1.0,危难,1,身上,1.0
安静,1.0,永恒,1,最有,1.0
萦绕,1.0,小情,1,扯蛋,1.0
不去,1.0,小爱,1,自我标榜,1.0
戳心,1.0,命运,1,很大,1.0
寻找,1.0,共同体,1,面对,1.0
开辟,1.0,真谛,1,困难,1.0
冰有,1.0,仙桃,1,挑战,1.0
天,1.0,剧角,1,外部,1.0
化为,1.0,挺无语,1,情势,1.0
水,1.0,解释,1,机遇,1.0
子孙,1.0,常识,1,遭遇,1.0
真是太,1.0,顶尖,1,绑住,1.0
乡愁,1.0,科学家,1,硬噎,1.0
念念不忘,1.0,超,1,馒头,1.0
挥之不去,1.0,智能,1,怎么回事,1.0
头顶,1.0,人工智能,1,无数个,1.0
寒冷,1.0,胜利,1,偶然,1.0
感叹,1.0,壮阔,1,所有人,1.0
精妙,1.0,斑斓,1,抉择,1.0
极尽,1.0,荒原,1,轻飘飘,1.0
谄媚,1.0,废土,1,人死,1.0
逢迎,1.0,展现,1,意外,1.0
接地,1.0,窥见,1,末世,1.0
气,1.0,春天,1,尸体,1.0
想要,1.0,微光,1,遍地,1.0
努力,1.0,模仿,1,人有,1.0
区别,1.0,痕迹,1,触动,1.0
海草,1.0,莫斯,1,关怀,1.0
舞,1.0,堪称,1,空有,1.0
穿,1.0,全知型,1,空话,1.0
秋裤,1.0,哈尔,1,何物,1.0
魔幻,1.0,显露,1,及格,1.0
展现出,1.0,无疑,1,电影吧,1.0
特有,1.0,不谈,1,人去,1.0
纽带,1.0,原理,1,豆瓣,1.0
几条,1.0,硬核,1,app,1.0
至关重要,1.0,反感,1,打分,1.0
吴孟达,1.0,号称,1,星改,1.0
饰演,1.0,塞,1,热爱,1.0
爷爷,1.0,煽,1,想要,1.0
姥爷,1.0,美式,1,捍卫,1.0
这条线,1.0,高大,1,献上,1.0
隐线,1.0,旗帜,1,庄重,1.0
父女情,1.0,无比,1,分数,1.0
夫妻情,1.0,废话,1,叛逆,1.0
第一,1.0,滤镜,1,本应,1.0
男主角,1.0,折射,1,全给,1.0
演到,1.0,满溢,1,彷佛,1.0
尾,1.0,愈发,1,吃,1.0
独角戏,1.0,神奇,1,大年初一,1.0
难度很大,1.0,不知,1,第一口,1.0
出演,1.0,跳跃,1,shi,1.0
情非得已,1.0,隐去,1,科技进步,1.0
多加,1.0,陨落,1,作得,1.0
刘启,1.0,东南亚,1,恨不得,1.0
俩,1.0,逃避,1,打爆,1.0
赶紧,1.0,父权,1,🐷,1.0
累,1.0,杠杆,1,头,1.0
125,1.0,子嗣,1,女,1.0
肩膀,1.0,撬动,1,添麻烦,1.0
壮举,1.0,前期,1,不懂事,1.0
风暴,1.0,强势,1,宗教,1.0
一系列,1.0,导致,1,计划经济,1.0
观看,1.0,过高,1,缩影,1.0
认定,1.0,男一女,1,矿工,1.0
样子,1.0,拖后腿,1,区,1.0
山寨,1.0,型,1,贾樟柯,1.0
全新,1.0,电影站,1,好多,1.0
面面俱到,1.0,立意,1,评,1.0
小到,1.0,只会,1,说坏话,1.0
大到,1.0,落差,1,8.4,1.0
存亡,1.0,妹妹,1,像是,1.0
信服,1.0,一人拉低,1,刷,1.0
贡献,1.0,咔嚓,1,要用,1.0
极强,1.0,震天响,1,爱过,1.0
穿透力,1.0,当球长,1,说实话,1.0
燃度,1.0,带领,1,日本,1.0
太高,1.0,大火,1,车,1.0
心疼,1.0,有部,1,满地跑,1.0
跃跃欲试,1.0,步履蹒跚,1,韩国,1.0
跟风者,1.0,身为,1,戏子,1.0
PS,1.0,十几年,1,满地,1.0
粉红,1.0,读者,1,蹦,1.0
赞,1.0,观影,1,跶,1.0
这条,1.0,读,1,拍出,1.0
盲目,1.0,遍,1,c,1.0
爱国,1.0,文字,1,质感,1.0
盟友,1.0,力量,1,不知所云,1.0
先说,1.0,依旧,1,所踪,1.0
算得,1.0,刘不像,1,不知所谓,1.0
之作,1.0,作家,1,生活,1.0
出色,1.0,中心,1,耗尽,1.0
红色,1.0,观,1,热情,1.0
防护服,1.0,站,1,假大空,1.0
大型,1.0,全人类,1,使人,1.0
载货,1.0,高度,1,感同身受,1.0
卡车,1.0,借用,1,猪,1.0
设计,1.0,面目全非,1,队友,1.0
击中,1.0,注入,1,生厌,1.0
审美,1.0,民族主义,1,刘启,1.0
周边,1.0,催化剂,1,韩,1.0
玩具,1.0,映后,1,朵朵,1.0
购买,1.0,灵魂,1,泰山,1.0
空,1.0,提问,1,崩于,1.0
掉线,1.0,月球,1,前而色,1.0
过头,1.0,背面,1,猝然,1.0
悲悯,1.0,全场,1,临之而,1.0
表现,1.0,高呼,1,惊,1.0
一出,1.0,激动,1,不配,1.0
回头,1.0,高涨,1,留在,1.0
壮烈,1.0,爱国,1,先,1.0
不抱,1.0,自豪感,1,敬,1.0
苦涩,1.0,惊愕,1,天上,1.0
成分,1.0,似曾相识,1,星星,1.0
原本,1.0,翻滚,1,八组,1.0
大于,1.0,对接,1,午夜,1.0
故土,1.0,耳熟,1,场,1.0
升华,1.0,五年,1,粗糙,1.0
一层,1.0,前三刷,1,幼稚,1.0
敬畏,1.0,IMAX,1,肤浅,1.0
电影剧本,1.0,那天,1,无聊,1.0
年龙标,1.0,忍不住,1,刻意,1.0
001,1.0,喊出,1,wtf,1.0
号,1.0,经典台词,1,口碑,1.0
迈出,1.0,Come,1,逆袭,1.0
一代,1.0,on,1,营销,1.0
起家,1.0,TARS,1,路线,1.0
强,1.0,五星,1,扮演者,1.0
硬气,1.0,火星,1,空间站,1.0
预算,1.0,中心主义,1,控制系统,1.0
有限,1.0,烦人,1,扮演着,1.0
纪律,1.0,往上拉,1,其他人,1.0
亮点,1.0,拉,1,moss,1.0
谈恋爱,1.0,一无是处,1,叛变,1.0
谈,1.0,看得,1,全剧,1.0
没球用,1.0,焦躁,1,最苏,1.0
不论是,1.0,充满,1,物理学,1.0
拍成电影,1.0,敬畏,1,专业,1.0
时该,1.0,最终,1,研究,1.0
不战,1.0,简单,1,广义,1.0
狼,1.0,再见面,1,相对论,1.0
战狼魂,1.0,循序渐进,1,属实,1.0
传给,1.0,同理,1,弟弟,1.0
养成,1.0,夹住,1,前,1.0
系,1.0,掰,1,目前为止,1.0
gay,1.0,卡住,1,放到,1.0
couple,1.0,踹,1,扪心自问,1.0
超乎,1.0,急眼,1,置景,1.0
预想,1.0,大喊,1,服装,1.0
非同寻常,1.0,不爽,1,造型,1.0
满满的,1.0,放火,1,近十年,1.0
人文主义,1.0,脾气,1,开场,1.0
截然不同,1.0,很差,1,设置,1.0
不值一提,1.0,推来推去,1,关键人物,1.0
建筑物,1.0,暂且不说,1,环,1.0
感官,1.0,脑洞,1,太平洋,1.0
明晰,1.0,套,1,遗憾,1.0
建议,1.0,好看,1,丝毫,1.0
低,1.0,票价,1,影评人,1.0
开天辟地,1.0,贵,1,开启,1.0
没话说,1.0,钱包,1,难,1.0
开头,1.0,难能可贵,1,苟同,1.0
十几分钟,1.0,人物形象,1,没想到,1.0
快节奏,1.0,对话,1,人多,1.0
交代,1.0,想像,1,力量,1.0
杭州,1.0,底色,1,负分,1.0
大城市,1.0,浪漫主义,1,滚,1.0
越来越,1.0,说实话,1,走出,1.0
主旋律,1.0,工矿,1,国门,1.0
阅片量,1.0,铁人,1,外边,1.0
多一点,1.0,英雄气概,1,终于,1.0
猜,1.0,源自,1,成片,1.0
结局,1.0,军人,1,不期而遇,1.0
变得,1.0,市井,1,喜悦,1.0
冗长,1.0,痞气,1,一股,1.0
乏味,1.0,活下去,1,清新,1.0
完毕,1.0,国界,1,之风,1.0
哲思,1.0,单一,1,美学,1.0
探讨,1.0,别国,1,类型,1.0
余味,1.0,春,1,群像,1.0
深挖,1.0,晚上,1,多重,1.0
人工智能,1.0,少数民族,1,矛盾,1.0
背叛,1.0,不合理,1,色彩,1.0
恐惧,1.0,燃料,1,本质,1.0
好奇心,1.0,竟是,1,阳光,1.0
并存,1.0,矿石,1,温暖,1.0
精力,1.0,远程,1,向上,1.0
众志成城,1.0,运输,1,很正,1.0
条,1.0,疑惑,1,能量,1.0
单一,1.0,构想,1,章回体,1.0
主线,1.0,匆忙,1,声部,1.0
梗概,1.0,上马,1,和弦,1.0
头衔,1.0,乌托邦,1,横向,1.0
影像,1.0,耗资,1,争执,1.0
说远超,1.0,概率,1,力,1.0
国产片,1.0,不低,1,一句,1.0
庄严,1.0,两个,1,到位,1.0
悲剧,1.0,中学生,1,明快,1.0
好几个,1.0,差点,1,浑然一体,1.0
感到,1.0,符合,1,色彩纷呈,1.0
无力感,1.0,物理学,1,考验,1.0
对抗,1.0,不合,1,功力,1.0
看好,1.0,经济学,1,时尚性,1.0
冠军,1.0,钱造,1,青春,1.0
悲情,1.0,万座,1,适合,1.0
城市,1.0,何不,1,主流,1.0
2058,1.0,飞船,1,意识,1.0
中学,1.0,移民,1,新作,1.0
碎片,1.0,地下,1,艺术片,1.0
集合,1.0,避难所,1,新气象,1.0
电影版,1.0,来到,1,明年,1.0
多部,1.0,冰冻,1,参加,1.0
动作片,1.0,男人,1,金鸡奖,1.0
内容,1.0,星球,1,第二届,1.0
表达,1.0,未知,1,加州,1.0
人文,1.0,工作,1,帝王,1.0
科技,1.0,膨胀,1,电影节,1.0
伟大成就,1.0,太阳系,1,影片奖,1.0
浩瀚,1.0,驶向,1,•,1.0
壮丽,1.0,茫茫,1,逐梦,1.0
神秘,1.0,搜集,1,强拆,1.0
以此,1.0,延续,1,种花,1.0
架空,1.0,饱和,1,家国,1.0
业余,1.0,传递,1,理念,1.0
科幻小说,1.0,火石,1,wen,1.0
写软,1.0,外,1,ge,1.0
十足,1.0,模拟,1,产物,1.0
文科生,1.0,显示屏,1,五千年,1.0
这方面,1.0,眼镜,1,孔孟,1.0
难,1.0,永昼,1,强盗,1.0
理解,1.0,望梅,1,厚,1.0
科学,1.0,米饭,1,黑,1.0
浓浓的,1.0,止渴,1,更新,1.0
催泪,1.0,兑现,1,一出,1.0
散场,1.0,诺言,1,从头到尾,1.0
好好,1.0,相见,1,吵,1.0
呼吸,1.0,出门,1,闹,1.0
空气,1.0,遛个,1,震得,1.0
蓝色,1.0,弯儿,1,耳膜,1.0
天空,1.0,穿戴,1,疼,1.0
感受,1.0,头盔,1,瞪,1.0
美好,1.0,裂,1,吼,1.0
以假乱真,1.0,冻死,1,咧嘴,1.0
货,1.0,雪天,1,皱眉,1.0
绝大多数,1.0,开车,1,三板斧,1.0
自觉,1.0,减速,1,装傻充愣,1.0
90,1.0,侧滑,1,白痴,1.0
共享,1.0,习以为常,1,化,1.0
平行,1.0,男主新,1,一步,1.0
翻,1.0,人脸,1,一坑,1.0
婆婆妈妈,1.0,亚裔,1,尴幽尬,1.0
必然选择,1.0,名叫,1,默,1.0
家,1.0,飙车,1,丢人现眼,1.0
对立,1.0,哥,1,凑,1.0
说出,1.0,高楼,1,出品,1.0
一百个,1.0,仰脖,1,方在,1.0
本土化,1.0,一脸,1,耍流氓,1.0
想当然,1.0,震惊,1,友邻,1.0
一根,1.0,系统,1,影院,1.0
筋式,1.0,语言,1,下线,1.0
结尾处,1.0,英文,1,好奇,1.0
中心,1.0,法文,1,视频,1.0
用爱,1.0,主推,1,网站,1.0
发电,1.0,多元,1,不看,1.0
廉价,1.0,不提,1,友情,1.0
一度,1.0,面对,1,避雷,1.0
Interstellar,1.0,大伙,1,硬打,1.0
结尾,1.0,老婆,1,硬是,1.0
安妮,1.0,呆,1,要死,1.0
孤寂,1.0,会儿,1,一家子,1.0
神情,1.0,good,1,命运,1.0
想起,1.0,luck,1,尊重,1.0
奇葩,1.0,距离,1,联合政府,1.0
说里,1.0,超大,1,人顶,1.0
美玲,1.0,过近,1,总,1.0
有后,1.0,吸走,1,户口,1.0
东,1.0,元气,1,当上,1.0
无后,1.0,忧虑,1,官,1.0
米,1.0,一队,1,做作,1.0
本质,1.0,不远万里,1,薄弱,1.0
外壳,1.0,敌营,1,在线,1.0
包裹,1.0,火把,1,无时无刻,1.0
共通,1.0,10,1,尬,1.0
议题,1.0,不缺,1,走心,1.0
更具,1.0,能源,1,激素,1.0
现实意义,1.0,火焰,1,泛滥,1.0
执着,1.0,柱子,1,中年,1.0
企盼,1.0,说点,1,少女,1.0
散发,1.0,特,1,战狼,1.0
色彩,1.0,亢奋,1,小女生,1.0
这颗,1.0,风格,1,一篇,1.0
黑暗,1.0,加拿大,1,激情,1.0
摸索,1.0,主旋律,1,澎湃,1.0
小小,1.0,献礼片,1,即兴,1.0
承载,1.0,上映,1,小学生,1.0
厚重,1.0,恢复,1,救援队,1.0
能量,1.0,评星,1,梦,1.0
震颤,1.0,蠢到,1,首部,1.0
走得,1.0,情结,1,本土,1.0
预告片,1.0,下要,1,蒙蔽,1.0
低成本,1.0,喷成,1,双眼,1.0
想不到,1.0,狗头,1,高分,1.0
超出,1.0,韩产,1,要说,1.0
热血,1.0,最低,1,电影工业,1.0
奇伟,1.0,囧,1,很长,1.0
瑰丽,1.0,画外音,1,路,1.0
领导,1.0,真不错,1,两句,1.0
概括,1.0,结尾,1,哲学,1.0
烟花爆竹,1.0,越近,1,命题,1.0
救,1.0,越,1,起点,1.0
他者,1.0,纷纷,1,多高,1.0
刻板,1.0,活过来,1,没道理,1.0
印象,1.0,陡峭,1,逗留,1.0
借鉴,1.0,轨道,1,通用,1.0
人类学,1.0,滑行,1,表达,1.0
感兴趣,1.0,终点,1,抒发,1.0
打开,1.0,ps,1,林若宁,1.0
设想,1.0,几十年,1,Eason,1.0
社会秩序,1.0,夹,1,月球,1.0
未臻,1.0,转瞬即逝,1,写道,1.0
圆满,1.0,网络,1,未来,1.0
轻重,1.0,梗,1,观看,1.0
偏颇,1.0,浅薄,1,潜伏,1.0
新起点,1.0,机会,1,万年,1.0
风靡,1.0,青出于蓝,1,野史,1.0
胡乱,1.0,奇葩,1,记载,1.0
高冷,1.0,浪漫,1,不理,1.0
鄙视,1.0,大半,1,它小爱,1.0
链,1.0,乱哄哄,1,大爱,1.0
界,1.0,最初,1,太过,1.0
粉丝,1.0,三分之一,1,渺小,1.0
鼓励性,1.0,黑市,1,这才,1.0
短板,1.0,三秒,1,应有,1.0
换,1.0,两组,1,共识,1.0
俄罗斯,1.0,男女,1,两年,1.0
试试,1.0,互动,1,降临,1.0
滤镜,1.0,浪女,1,谷粒,1.0
土锤,1.0,憨,1,标,1.0
连土锤,1.0,悍,1,模仿,1.0
慢慢来,1.0,女浪,1,痕迹,1.0
态度,1.0,陈旧,1,地心引力,1.0
总有一天,1.0,低能,1,同款,1.0
3.5,1.0,最该,1,画质,1.0
新纪元,1.0,舒张,1,极渣,1.0
无论是,1.0,市区,1,播放,1.0
坐标,1.0,副,1,卡顿,1.0
合力,1.0,蠢,1,配以,1.0
采用,1.0,相,1,乡土气,1.0
创造,1.0,压抑,1,十足,1.0
乡土,1.0,深重,1,地下,1.0
情结,1.0,千年,1,小镇,1.0
了不起,1.0,统治,1,式,1.0
急促,1.0,不寒而栗,1,中段,1.0
扁平化,1.0,女音,1,冗长,1.0
尚未,1.0,成人,1,更是,1.0
开春,1.0,儿童,1,疲惫,1.0
预言,1.0,充公,1,倒,1.0
年底,1.0,充实,1,吹捧,1.0
各家,1.0,精神状态,1,狂潮,1.0
媒体,1.0,令,1,惊到,1.0
盘点,1.0,倒退,1,悲壮,1.0
失重,1.0,回想,1,一丝,1.0
飘零,1.0,国外,1,感全,1.0
泪水,1.0,向往,1,节制,1.0
计入,1.0,一幅,1,空到,1.0
年度,1.0,不想,1,毁,1.0
最美,1.0,挣脱,1,☆,1.0
列,1.0,最多,1,时代特色,1.0
吴京式,1.0,变通,1,发问,1.0
逻辑,1.0,顺民,1,回答,1.0
有缺,1.0,脱轨,1,玄幻,1.0
很烦,1.0,撒娇,1,称得上,1.0
主角,1.0,作,1,过度,1.0
那俩,1.0,一毛钱,1,2D,1.0
熊娃,1.0,关系,1,动作片,1.0
劣根性,1.0,围着,1,剪法,1.0
宏伟,1.0,家长,1,空间结构,1.0
2500,1.0,转,1,比较复杂,1.0
五代,1.0,乖宝宝,1,3D,1.0
之内,1.0,本质区别,1,胡闹,1.0
搞砸,1.0,人生,1,表现,1.0
无望,1.0,理想,1,不清,1.0
就此结束,1.0,彻彻底底,1,轴线,1.0
静静地,1.0,不带,1,纷乱,1.0
终点,1.0,教训,1,运送,1.0
引发,1.0,临死前,1,火石,1.0
不适,1.0,教育,1,吴孟达,1.0
贯穿,1.0,麻木,1,一段,1.0
三点,1.0,不差,1,看清,1.0
部,1.0,爽,1,错误,1.0
献给,1.0,不新,1,插入,1.0
程序员,1.0,生存,1,过紧,1.0
二是,1.0,社会形态,1,特写,1.0
改造,1.0,心理,1,运动,1.0
音乐,1.0,变化,1,方向,1.0
三是,1.0,传统,1,明暗,1.0
新海,1.0,合家欢,1,情况,1.0
诚,1.0,不太会,1,锚定,1.0
差别,1.0,兴奋,1,注意力,1.0
FEST,1.0,视野,1,少量,1.0
间隙,1.0,前端,1,连续,1.0
补上,1.0,难产,1,长镜头,1.0
实话,1.0,质素,1,跨越,1.0
党,1.0,对标,1,数十万,1.0
不太,1.0,去年,1,公里,1.0
算是,1.0,票房,1,建构,1.0
选段,1.0,冠军,1,着实,1.0
做成,1.0,囊中之物,1,费力,1.0
青春片,1.0,认可,1,抽远,1.0
底子,1.0,它望,1,语,1.0
参考,1.0,向太空,1,一成不变,1.0
环太,1.0,眼光,1,延续,1.0
却是,1.0,完成度,1,云淡风轻,1.0
一吹,1.0,第一步,1,青春片,1.0
妥妥,1.0,广大观众,1,无力,1.0
场外,1.0,药神,1,星系,1.0
因素,1.0,热情,1,尺度,1.0
不爽,1.0,大年初一,1,超全知,1.0
外交部,1.0,量身,1,点燃,1.0
宣宣,1.0,定制,1,序幕,1.0
介入,1.0,文献,1,往后,1.0
性质,1.0,综述,1,越来越,1.0
变,1.0,环,1,糙,1.0
回到,1.0,太平洋,1,模式,1.0
倒,1.0,囊括,1,主,1.0
趣事,1.0,日,1,违,1.0
才能救,1.0,罗列,1,心,1.0
组织,1.0,种种,1,观念,1.0
社会形态,1.0,熟稔,1,灌输,1.0
近似,1.0,给出,1,吃不消,1.0
意识形态,1.0,整体,1,举例,1.0
保守,1.0,趋向,1,几场,1.0
点儿,1.0,态势,1,初中生,1.0
年内,1.0,聒噪,1,演讲,1.0
高峰,1.0,来势汹汹,1,实实在在,1.0
前头,1.0,寄予厚望,1,瓦解,1.0
围绕,1.0,组装,1,掉,1.0
一本,1.0,健壮,1,上地,1.0
一段,1.0,婴儿,1,出城,1.0
蛮带,1.0,直观,1,高大,1.0
CG,1.0,第一遍,1,上感,1.0
坐在,1.0,二刷,1,解,1.0
前排,1.0,讨喜,1,现实,1.0
没收,1.0,小孩子,1,耍,1.0
实名,1.0,大局观,1,聪明,1.0
转发,1.0,电车,1,注释,1.0
自信心,1.0,难题,1,第一次,1.0
投资,1.0,轻描淡写,1,见到,1.0
敞开,1.0,困境,1,城市,1.0
铲除,1.0,省略,1,这套,1.0
宝库,1.0,如此一来,1,对不上,1.0
运营,1.0,流水账,1,几十亿,1.0
障碍,1.0,演讲,1,悲剧感,1.0
减轻,1.0,光靠,1,寒冷,1.0
以往,1.0,讲道理,1,说来说去,1.0
民族性,1.0,嘴炮,1,一堆,1.0
国际性,1.0,难,1,数字,1.0
非此即彼,1.0,曹云金,1,记住,1.0
提供,1.0,节节败退,1,洛希,1.0
大部分,1.0,景置,1,极限,1.0
国人,1.0,景感,1,开年,1.0
解决方案,1.0,太重,1,小而精,1.0
上能,1.0,动物,1,流程,1.0
培养,1.0,轮船,1,通篇,1.0
一支,1.0,没差,1,小女孩,1.0
四点,1.0,观念,1,朗诵,1.0
足以,1.0,精细,1,听到,1.0
留史,1.0,外部,1,我爸,1.0
功德无量,1.0,天咒,1,重重的,1.0
办法,1.0,不算,1,啧,1.0
思路,1.0,太好,1,一声,1.0
引导,1.0,联想,1,截然不同,1.0
做好,1.0,煽动,1,两件,1.0
收,1.0,很强,1,暂未,1.0
学会,1.0,死生,1,呈现,1.0
空间,1.0,极致,1,绝大部分,1.0
可怕,1.0,时常,1,二次,1.0
天斗,1.0,依托,1,杭州,1.0
人能,1.0,无视,1,沦陷,1.0
眼前,1.0,法律,1,印尼,1.0
依次,1.0,法纪,1,引力,1.0
浮现,1.0,现代文明,1,加大,1.0
后期,1.0,克服,1,成功,1.0
2000,1.0,写不出,1,插科打诨,1.0
银河,1.0,恢弘,1,个性,1.0
奖,1.0,同步,1,呕吐,1.0
征文,1.0,亚特兰蒂斯,1,那段,1.0
追随,1.0,佐证,1,好不容易,1.0
读者,1.0,队伍,1,走入,1.0
自豪,1.0,找到,1,正轨,1.0
2018,1.0,踏上,1,热血沸腾,1.0
卖,1.0,征途,1,嚎,1.0
白蛇,1.0,交接,1,两下,1.0
顶尖,1.0,一笔,1,放大,1.0
弱项,1.0,一家人,1,回音,1.0
多处,1.0,拖累,1,混响,1.0
卡朋特和库,1.0,风评,1,节奏感,1.0
布里克,1.0,常见,1,贼,1.0
算小京喜,1.0,那套,1,大义,1.0
双线,1.0,模板,1,家人,1.0
并进,1.0,干脆,1,违背,1.0
一分钟,1.0,伎俩,1,规则,1.0
孤胆,1.0,挤出,1,扬,1.0
丧失,1.0,马修,1,我国,1.0
导师,1.0,麦康纳,1,威,1.0
父亲,1.0,相比,1,道德,1.0
成长,1.0,野心,1,前段,1.0
力挽狂澜,1.0,哭,1,嚷,1.0
力量,1.0,放同,1,一部分,1.0
计算,1.0,片堆,1,遗产,1.0
世俗,1.0,级别,1,爷俩,1.0
标配,1.0,差钱,1,咋样,1.0
各类,1.0,人能,1,巨婴,1.0
点常,1.0,话说回来,1,心理,1.0
浇灭,1.0,想必,1,反思,1.0
酝酿,1.0,制作方,1,人工智能,1.0
妹妹,1.0,省钱,1,桥段,1.0
几近,1.0,过往,1,无疾而终,1.0
多余,1.0,集合,1,再申,1.0
电梯,1.0,赶不上,1,暂,1.0
最为,1.0,顶级,1,知晓,1.0
潦草,1.0,近几年,1,抱歉,1.0
配乐,1.0,那批,1,白眼,1.0
表演,1.0,甩,1,翻到,1.0
之外,1.0,远,1,认同,1.0
踩,1.0,分项,1,期待,1.0
点,1.0,无奈,1,早该,1.0
胜过,1.0,打脸,1,实力,1.0
大团圆,1.0,近一半,1,视效,1.0
喜感,1.0,摒除,1,共鸣,1.0
汇聚一堂,1.0,保护主义,1,属,1.0
Hal,1.0,盛行,1,上乘,1.0
银翼,1.0,附加,1,说好,1.0
杀手,1.0,降低标准,1,天使,1.0
颓废,1.0,偏低,1,隋凯,1.0
冰封,1.0,亮眼,1,不合时宜,1.0
长长的,1.0,二十年,1,低廉,1.0
一段路,1.0,完整,1,笑料,1.0
些许,1.0,三幕,1,包括,1.0
曙光,1.0,结构,1,抖音,1.0
8.0,1.0,路数,1,广告,1.0
10,1.0,欠缺,1,植入,1.0
既要,1.0,记住,1,妥协,1.0
俯瞰,1.0,整部,1,媚俗,1.0
浸入,1.0,闷,1,明明,1.0
饕餮,1.0,潦草,1,记得,1.0
早已,1.0,饱满,1,壮阔,1.0
喂饱,1.0,听,1,奇景,1.0
宇宙观,1.0,高仿,1,气象,1.0
符合国情,1.0,货,1,可脑,1.0
一席,1.0,鼓点,1,挥之不去,1.0
之位,1.0,行业,1,腔,1.0
令人叹服,1.0,惯例,1,干涩,1.0
观念,1.0,直,1,仍会,1.0
四海之内皆兄弟,1.0,定义,1,寄予希望,1.0
大局观,1.0,商榷,1,期盼,1.0
兼顾,1.0,房子,1,扛鼎之作,1.0
小家庭,1.0,跑,1,不远处,1.0
幸福,1.0,背后,1,一遍,1.0
开端,1.0,虚无,1,红海,1.0
激发,1.0,可谓,1,平庸,1.0
热情,1.0,寒蝉凄切,1,太空,1.0
带出,1.0,长亭,1,超级,1.0
优质,1.0,晚,1,本片,1.0
现实,1.0,骤雨,1,谈不上,1.0
折射,1.0,初歇,1,经典,1.0
黑色幽默,1.0,解构,1,知名,1.0
硬刚,1.0,权力,1,移植,1.0
坚挺,1.0,冲突,1,钱,1.0
讲,1.0,涉及,1,看不到,1.0
泄气,1.0,突发事件,1,神秘,1.0
目测,1.0,震撼,1,致密,1.0
一大,1.0,浑身,1,吸引力,1.0
波,1.0,舒服,1,感到,1.0
土味,1.0,1.80%,1,激动,1.0
❶,1.0,19.9%,1,颤抖,1.0
真香,1.0,歌剧,1,一名,1.0
